brand,standard,sealed,epass_code,epass_code_sealed,hist_2025_avg,hist_tickets,note
Speed Queen,150.00,,WTY1-SPEED,WTY2-SPEED,162.05,1101,type A (minor) is the default; type B (major) is WTY2-SPEED — the warranty admin claims the higher one in ePASS
Asko,135.00,,WTYASKO-ASKO,,140.00,69,
Bosch,160.00,,WTYBSH-BOSCH,,135.62,736,
Thermador,160.00,,WTYBSH-THERM,,134.06,396,
Gaggenau,160.00,,WTYBSH-GAGGE,,142.50,4,
Cove,163.00,,WTYCOVE-COVE,,160.70,266,
DCS,165.00,,WTYDCS-DCS,,,30,no sealed-system rate given — open item 52
Fisher Paykel,165.00,375.00,WTYFP-FP,,154.55,88,no ePASS sealed code in history yet
Cafe,125.00,225.00,WTYGE-CAFE,WTYSEALEDSYS-CAFE,124.87,405,
GE,125.00,225.00,WTYGE-GE,WTYSEALEDSYS-GE,124.40,842,
Haier,125.00,225.00,WTYGE-HAIER,,,9,no ePASS sealed code in history yet
Hotpoint,125.00,,WTYGE-GE,,124.40,842,no sealed-system rate given — open item 52
Profile,125.00,225.00,WTYGE-PROF,WTYSEALEDSYS-PROF,123.79,306,
Monogram,151.25,350.00,WTYMGRAM-MGRAM,WTYSEALEDSYS-MGRAM,141.01,436,
Whirlpool,113.68,237.74,WTYWP-WP,WTYSEALEDSYS-WP,111.96,591,
Maytag,113.68,237.74,WTYWP-MTAG,WTYSEALEDSYS-MTAG,112.21,369,
JennAir,113.68,237.74,WTYJA-JA,WTYSEALEDSYS-JA,114.12,258,
KitchenAid,113.68,237.74,WTYWP-KA,WTYSEALEDSYS-KA,112.45,1443,
Amana,113.68,,WTYWP-AMANA,,113.68,5,Whirlpool family; sealed rate not named — open item 52
La Cornue,150.00,,WTYLACORNUE,,702.50,18,
LG,110.00,,WTYLG-LG,,112.23,80,
Liebherr,135.00,,WTYLIEB-LIEBHERR,,135.00,14,
AGA,150.00,,WTYMIDDLEBY-AGA,,313.74,5,
Lynx,150.00,,WTYMIDDLEBY-LYNX,,160.47,10,
Marvel,150.00,300.00,WTYMIDDLEBY-MARVEL,,,0,no ePASS code in history — confirm the code with the warranty admin
U-Line,150.00,300.00,WTYMIDDLEBY-ULINE,WTYSEALEDSYS-ULINE,150.00,1,
Viking,150.00,300.00,WTYMIDDLEBY-VIKING,,173.36,10,no ePASS sealed code in history yet
Miele,165.00,,WTYMIELE-MIELE,,170.20,256,
Sub-Zero,174.00,420.00,WTYSZ-SZ,WTYSZ-SEALEDSYS,174.56,990,
Wolf,174.00,,WTYWOLF-WOLF,,172.95,1035,
