epass_map_zone,zone_group,booking_mode,km_from_shop,primary_tech,secondary_techs,centroid_lat,centroid_lng,sample_n,notes,measured_n,measured_primary,measured_share,ownership,measured_techs,action
DS,Core Hill Country,open,2.2,DLA,AJH BLL CEM CIT KJB TDP,30.1993,-98.0826,72,"Daily, every tech passes through.",1237,KJB,0.26,shared,KJB TDP AJH DLA,no real primary — score on drive and capacity only
SHOP,Core Hill Country,open,6.0,DLA,AJH BLL CEM CIT KJB TDP,30.1852,-98.0031,44,"Daily, every tech passes through.",106,MAP,0.28,shared,MAP CIT TDP AJH DLA,no real primary — score on drive and capacity only
DRIFT,Core Hill Country,open,7.6,KJB,AJH BLL CEM CIT DLA TDP,30.1394,-98.0814,19,"Daily, every tech passes through.",459,KJB,0.65,owned,KJB DLA TDP,
LOCAL,Core Hill Country,open,11.4,DLA,AJH BLL CEM CIT KJB TDP,30.1827,-97.9449,121,"Daily, every tech passes through.",820,KJB,0.25,shared,KJB TDP AJH DLA,no real primary — score on drive and capacity only
OAKHL,Core Hill Country,open,14.8,AJH,BLL CEM CIT DLA KJB TDP,30.2311,-97.909,52,"Daily, every tech passes through.",173,AJH,0.53,shared,AJH TDP MAP KJB,no real primary — score on drive and capacity only
HENLY,Core Hill Country,open,,DLA,AJH BLL CEM CIT JHM KJB TDP,,,,"Daily, every tech passes through.",10,,,thin,,too few visits to measure — keep the hand-set value
AUS W,Austin Metro,open,24.4,AJH,CEM JRC,30.3044,-97.8334,83,Daily.,690,JRC,0.52,shared,JRC AJH MAP CEM,no real primary — score on drive and capacity only
AUS C,Austin Metro,open,31.8,JRC,CEM,30.2966,-97.7466,70,Daily.,942,JRC,0.92,owned,JRC,
AUS S,Austin Metro,open,26.2,AJH,CEM KJB,30.2332,-97.7896,14,Daily.,304,JRC,0.33,shared,JRC AJH MAP TDP CEM,no real primary — score on drive and capacity only
AUS N,Austin Metro,open,31.4,JRC,CIT,30.3508,-97.7807,6,Daily.,253,JRC,0.82,owned,JRC,
AUS E,Austin Metro,open,36.9,JRC,—,30.3082,-97.6948,2,Daily.,49,JRC,0.90,owned,JRC,
LOST,Austin Metro,open,20.7,TDP,AJH CIT,30.2893,-97.8684,32,Daily.,353,AJH,0.63,owned,AJH TDP,primary should be AJH
BCAVE,Austin Metro,open,15.0,TDP,AJH CIT,30.3123,-97.9648,4,Daily.,458,AJH,0.51,shared,AJH TDP,no real primary — score on drive and capacity only
LAKE,Austin Metro,open,20.5,TDP,CIT AJH,30.3763,-97.9796,1,Daily.,333,TDP,0.49,shared,TDP AJH CIT,no real primary — score on drive and capacity only
SPICE,Austin Metro,open,22.0,TDP,CIT,30.3988,-98.0116,14,Daily.,329,TDP,0.91,owned,TDP,
R2222,Austin Metro,open,26.1,CIT,TDP,30.366,-97.8625,5,Daily.,17,,,thin,,too few visits to measure — keep the hand-set value
WIMB,South Corridor,open,22.7,KJB,TDP,30.0055,-98.107,39,Daily via KJB from Kyle.,362,KJB,0.81,owned,KJB,
