task_id,family_code,family,task,base_hours,department,hourly_rate,price,labor_taxable_default,family_tax_rule,tags,epass_code_stems,source_rows,hours_vary_by_brand,review_flag
AC-001,AC,HVAC,Charge Unit with Refrigerant Per Manufacturer Specifications,1.5,hvac,150,225.0,N,N,,AC101,1,no,
AC-002,AC,HVAC,Condensate Drain Cleaning/Clear Debris,0.75,hvac,150,112.5,N,N,,AC102,1,no,
AC-003,AC,HVAC,Condensate Drain Repair/Replacement PVC Fittings - Major,1.25,hvac,150,187.5,N,N,,AC103,1,no,
AC-004,AC,HVAC,Condensate Drain Repair/Replacement PVC Fittings - Minor,1.25,hvac,150,187.5,N,N,,AC104,1,no,
AC-005,AC,HVAC,Cosmetic Part Replacement,0.5,hvac,150,75.0,N,N,,AC105,1,no,
AC-006,AC,HVAC,Fire Ant Treatment at Outdoor Unit,0.5,hvac,150,75.0,N,N,,AC109,1,no,
AC-007,AC,HVAC,Flex Duct Replacement Per Duct Run - 10-inch Diameter - Over 25 Feet - Materials NOT Included,1.5,hvac,150,225.0,N,N,,AC110,1,no,
AC-008,AC,HVAC,Flex Duct Replacement Per Duct Run - 10-inch Diameter - Under 25 Feet - Materials NOT Included,1.25,hvac,150,187.5,N,N,,AC111,1,no,
AC-009,AC,HVAC,Flex Duct Replacement Per Duct Run - 12-inch Diameter - Over 25 Feet - Materials NOT Included,1.75,hvac,150,262.5,N,N,,AC112,1,no,
AC-010,AC,HVAC,Flex Duct Replacement Per Duct Run - 12-inch Diameter - Under 25 Feet - Materials NOT Included,1.25,hvac,150,187.5,N,N,,AC113,1,no,
AC-011,AC,HVAC,Flex Duct Replacement Per Duct Run - 14-inch Diameter - Over 25 Feet - Materials NOT Included,1.75,hvac,150,262.5,N,N,,AC114,1,no,
AC-012,AC,HVAC,Flex Duct Replacement Per Duct Run - 14-inch Diameter - Under 25 Feet - Materials NOT Included,1.25,hvac,150,187.5,N,N,,AC115,1,no,
AC-013,AC,HVAC,Flex Duct Replacement Per Duct Run - 16-inch Diameter - Over 25 Feet - Materials NOT Included,2.0,hvac,150,300.0,N,N,,AC116,1,no,
AC-014,AC,HVAC,Flex Duct Replacement Per Duct Run - 16-inch Diameter - Under 25 Feet - Materials NOT Included,1.5,hvac,150,225.0,N,N,,AC117,1,no,
AC-015,AC,HVAC,Flex Duct Replacement Per Duct Run - 18-inch Diameter - Over 25 Feet - Materials NOT Included,2.25,hvac,150,337.5,N,N,,AC118,1,no,
AC-016,AC,HVAC,Flex Duct Replacement Per Duct Run - 18-inch Diameter - Under 25 Feet - Materials NOT Included,1.75,hvac,150,262.5,N,N,,AC119,1,no,
AC-017,AC,HVAC,Flex Duct Replacement Per Duct Run - 20-inch Diameter - Over 25 Feet - Materials NOT Included,2.5,hvac,150,375.0,N,N,,AC120,1,no,
AC-018,AC,HVAC,Flex Duct Replacement Per Duct Run - 20-inch Diameter - Under 25 Feet - Materials NOT Included,2.0,hvac,150,300.0,N,N,,AC121,1,no,
AC-019,AC,HVAC,Flex Duct Replacement Per Duct Run - 4-inch Diameter - Over 25 Feet - Materials NOT Included,1.5,hvac,150,225.0,N,N,,AC122,1,no,
AC-020,AC,HVAC,Flex Duct Replacement Per Duct Run - 4-inch Diameter - Under 25 Feet - Materials NOT Included,1.0,hvac,150,150.0,N,N,,AC123,1,no,
AC-021,AC,HVAC,Flex Duct Replacement Per Duct Run - 5-inch Diameter - Over 25 Feet - Materials NOT Included,1.5,hvac,150,225.0,N,N,,AC124,1,no,
AC-022,AC,HVAC,Flex Duct Replacement Per Duct Run - 5-inch Diameter - Under 25 Feet - Materials NOT Included,1.0,hvac,150,150.0,N,N,,AC125,1,no,
AC-023,AC,HVAC,Flex Duct Replacement Per Duct Run - 6-inch Diameter - Over 25 Feet - Materials NOT Included,1.5,hvac,150,225.0,N,N,,AC126,1,no,
AC-024,AC,HVAC,Flex Duct Replacement Per Duct Run - 6-inch Diameter - Under 25 Feet - Materials NOT Included,1.0,hvac,150,150.0,N,N,,AC127,1,no,
AC-025,AC,HVAC,Flex Duct Replacement Per Duct Run - 7-inch Diameter - Over 25 Feet - Materials NOT Included,1.5,hvac,150,225.0,N,N,,AC128,1,no,
AC-026,AC,HVAC,Flex Duct Replacement Per Duct Run - 7-inch Diameter - Under 25 Feet - Materials NOT Included,1.0,hvac,150,150.0,N,N,,AC129,1,no,
AC-027,AC,HVAC,Flex Duct Replacement Per Duct Run - 8-inch Diameter - Over 25 Feet - Materials NOT Included,1.5,hvac,150,225.0,N,N,,AC130,1,no,
AC-028,AC,HVAC,Flex Duct Replacement Per Duct Run - 8-inch Diameter - Under 25 Feet - Materials NOT Included,1.0,hvac,150,150.0,N,N,,AC131,1,no,
AC-029,AC,HVAC,Flex Duct Replacement Per Duct Run - 9-inch Diameter - Over 25 Feet - Materials NOT Included,1.5,hvac,150,225.0,N,N,,AC132,1,no,
AC-030,AC,HVAC,Flex Duct Replacement Per Duct Run - 9-inch Diameter - Under 25 Feet - Materials NOT Included,1.0,hvac,150,150.0,N,N,,AC133,1,no,
AC-031,AC,HVAC,"Inspect Indoor Unit, Outdoor Unit, Refrigerant Lines",1.25,hvac,150,187.5,N,N,,AC134,1,no,
AC-032,AC,HVAC,Major Cabinet Component,4.0,hvac,150,600.0,N,N,,AC135,1,no,
AC-033,AC,HVAC,Major Component,4.0,hvac,150,600.0,N,N,,AC136,1,no,
AC-034,AC,HVAC,Minor Cabinet Component,1.0,hvac,150,150.0,N,N,,AC137,1,no,
AC-035,AC,HVAC,Minor Component,1.0,hvac,150,150.0,N,N,,AC138,1,no,
AC-036,AC,HVAC,Minor Duct Repair,1.0,hvac,150,150.0,N,N,,AC139,1,no,
AC-037,AC,HVAC,"Perform HVAC System Maintenance (Additional Unit) - Includes visual inspection of indoor/outdoor units, check and record refrigerant levels, clean filters, check and record temperature differential, inspect drain.",0.6,hvac,150,90.0,N,N,,AC141,1,no,
AC-038,AC,HVAC,"Perform HVAC System Maintenance - Includes visual inspection of indoor/outdoor units, check and record refrigerant levels, clean filters, check and record temperature differential, inspect drain.",1.0,hvac,150,150.0,N,N,,AC140,1,no,
AC-039,AC,HVAC,Perform Maintenance on Electronic Air Cleaner,0.75,hvac,150,112.5,N,N,,AC142,1,no,
AC-040,AC,HVAC,Problem Could Not Be Not Reproduced,0.5,hvac,150,75.0,N,N,,AC144,1,no,
AC-041,AC,HVAC,Refrigerant Leak Repair Minor,2.0,hvac,150,300.0,N,N,,AC145,1,no,
AC-042,AC,HVAC,Refrigerant Recovery,1.0,hvac,150,150.0,N,N,,AC146,1,no,
AC-043,AC,HVAC,Repair Burnt Wire(s) or Loose Connection - Outdoor/Indoor Unit,0.75,hvac,150,112.5,N,N,,AC147,1,no,
AC-044,AC,HVAC,Replace Air Filter(s),0.4,hvac,150,60.0,N,N,,AC148,1,no,
AC-045,AC,HVAC,Return Air Grill Replacement,0.5,hvac,150,75.0,N,N,,AC149,1,no,
AC-046,AC,HVAC,Supply Grill Replacement,0.25,hvac,150,37.5,N,N,,AC150,1,no,
